Metric,Value
Adjusted Rand Index,0.332229424564908
Normalized Mutual Information,0.6049264554766749
Silhouette score,0.5621389411389828
Silhouette batch score,0.7180306822085342
Mean silhouette per group,-0.004807581659406424
Cell type Linear probe accuracy,0.9208974415820512
Cell type Linear probe F1 score (macro),0.7517150538865311
Cell type Linear probe F1 score (weighted),0.9182568736919997
Batch label Linear probe accuracy,0.33800381323992373
Batch label Linear probe F1 score (macro),0.2994728690018037
Batch label Linear probe F1 score (weighted),0.31418021859777134
